Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts > -0.5827034413814545 AND Dst_Port <= -0.9260448515415192 AND Flow_IAT_Min > -0.155146524310112 AND Flow_Duration <= -0.12770389765501022 AND Src_Port > -1.084040880203247 AND Src_Port > -1.0753997564315796 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= -1.0696597695350647 AND Src_Port <= -1.0701777935028076,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > 1.9640784859657288 AND Flow_Duration > -0.1577284187078476 AND Init_Bwd_Win_Byts <= 1.9918599724769592 AND Flow_Duration > -0.15664155781269073 AND Flow_Duration <= -0.1558264121413231 AND Flow_IAT_Min > -0.24202647805213928 AND Flow_Duration <= -0.15636984258890152 AND Init_Bwd_Win_Byts > 1.9745064973831177,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration <= -0.17810705304145813 AND Init_Bwd_Win_Byts <= 1.9778896570205688 AND Init_Bwd_Win_Byts <= 1.9710039496421814,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts > -0.593529462814331 AND Src_Port <= 1.1851466298103333 AND Src_Port <= 0.8817967176437378 AND Src_Port > 0.3803855627775192 AND Src_Port <= 0.8198792338371277 AND Src_Port <= 0.6673028767108917 AND Src_Port <= 0.5965785682201385 AND Src_Port > 0.5506999790668488,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port > 0.8123571872711182 AND Init_Bwd_Win_Byts > -0.4380248039960861 AND Dst_Port <= -0.7527363896369934 AND Src_Port > 0.8133932650089264 AND Dst_Port > -0.9260448515415192 AND Src_Port <= 0.862276554107666 AND Init_Bwd_Win_Byts > -0.013819856569170952 AND Src_Port > 0.8344675600528717 AND Init_Bwd_Win_Byts > 0.15000333543866873 AND Init_Bwd_Win_Byts <= 1.6958160400390625 AND Src_Port <= 0.8482891917228699 AND Src_Port > 0.8443934321403503,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port <= -0.5052325129508972 AND Dst_Port <= -0.7424137890338898 AND Init_Bwd_Win_Byts > 4.427316904067993 AND Init_Bwd_Win_Byts > 4.582622766494751 AND Src_Port <= 0.4570985436439514 AND Src_Port > 0.2720300182700157 AND Src_Port > 0.36094827950000763 AND Src_Port > 0.37680064141750336,Normal
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port <= 0.5372099280357361 AND Src_Port <= 0.2640727609395981 AND Src_Port <= 0.19430164992809296 AND Src_Port <= 0.18547406047582626 AND Src_Port > 0.09522958472371101 AND Src_Port <= 0.10509327426552773,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port > 1.8638468384742737 AND Src_Port > -1.030992478132248 AND Src_Port > 0.4904817268252373 AND Src_Port > 0.8235677778720856,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port <= 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.598624050617218 AND Src_Port > 0.4540109485387802 AND Src_Port <= 0.8435645401477814 AND Src_Port <= 0.7489891648292542 AND Src_Port > 0.7080217003822327,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min > -0.2199617326259613 AND Flow_IAT_Min > -0.20175831019878387 AND Flow_Duration <= -0.14984867721796036 AND Flow_Duration <= -0.15012039244174957 AND Flow_IAT_Min <= -0.19017431885004044 AND Flow_Duration <= -0.1525658294558525 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration > -0.15718498826026917 AND Init_Bwd_Win_Byts <= 2.001491963863373 AND Flow_Duration > -0.15691327303647995 AND Flow_Duration <= -0.15446783602237701 AND Flow_IAT_Min > -0.19624212384223938 AND Bwd_PSH_Flags <= 2.5738614946603775,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration > -0.15745670348405838 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration <= -0.15691327303647995 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration <= -0.15718498826026917 AND Flow_IAT_Min > -0.24312972277402878 AND Init_Bwd_Win_Byts <= 1.9845762848854065,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts > -0.5983056426048279 AND Flow_Duration <= -0.1759333312511444 AND Src_Port <= 1.0412113070487976 AND Init_Bwd_Win_Byts > -0.5891512930393219 AND Init_Bwd_Win_Byts > -0.5877980291843414 AND Init_Bwd_Win_Byts > -0.5354987978935242 AND Flow_Duration <= -0.17702019214630127,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port > 0.8103471398353577 AND Src_Port <= 0.8426113426685333 AND Flow_Duration <= -0.17729190737009048 AND Init_Bwd_Win_Byts > -0.5909423828125 AND Flow_Duration > -0.17797119170427322 AND Flow_IAT_Min <= -0.24147485941648483 AND Init_Bwd_Win_Byts > -0.5902657508850098,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port > -0.46147421002388 AND Dst_Port > -0.44411948323249817 AND Init_Bwd_Win_Byts <= 0.20473046600818634 AND Init_Bwd_Win_Byts > -0.20637976378202438 AND Src_Port > -1.2999852895736694 AND Init_Bwd_Win_Byts <= 0.10829130560159683 AND Flow_Duration > -0.15718498826026917 AND Flow_IAT_Min <= -0.19706954807043076 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts > 0.04214112646877766 AND Flow_Duration > -0.15636984258890152 AND Flow_Duration > -0.15446783602237701 AND Flow_IAT_Min > -0.24175066500902176,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port <= -0.5455942153930664 AND Src_Port <= 0.9586340188980103 AND Src_Port <= 0.8578213155269623 AND Src_Port > 0.8464241921901703 AND Flow_Duration > -0.17783533781766891 AND Src_Port > 0.8466728627681732 AND Flow_Duration > -0.15636984258890152 AND Flow_IAT_Min > -0.24064742773771286 AND Flow_Duration <= -0.15283754467964172,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min <= -0.24312972277402878 AND Flow_Duration > -0.15555469691753387 AND Flow_Duration <= -0.1507996842265129 AND Flow_Duration <= -0.15501126646995544 AND Flow_IAT_Min > -0.2445087656378746 AND Flow_Duration <= -0.15528298169374466,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_Duration <= -0.15501126646995544 AND Flow_Duration > -0.17430303990840912 AND Init_Bwd_Win_Byts <= 1.9845762848854065 AND Flow_Duration <= -0.1740313246846199 AND Init_Bwd_Win_Byts > 0.7582904398441315,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port <= 0.449431374669075 AND Init_Bwd_Win_Byts <= -0.6018081605434418 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.15215826034545898 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration > -0.1580001339316368 AND Flow_IAT_Min <= -0.24423296004533768,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= 1.9800786972045898 AND Init_Bwd_Win_Byts > 1.972795009613037,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port > 1.8638468384742737 AND Src_Port > -1.030992478132248 AND Src_Port <= 0.4904817268252373 AND Src_Port <= -0.937204509973526 AND Dst_Port > 1.9646846055984497,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration > -0.14916939288377762 AND Dst_Port <= -0.7424137890338898 AND Flow_IAT_Min > -0.23871676623821259 AND Init_Bwd_Win_Byts <= 1.5214852094650269 AND Init_Bwd_Win_Byts > -0.39607396721839905 AND Src_Port > 0.9828788042068481 AND Flow_IAT_Min <= -0.2376135289669037,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts <= 1.9640784859657288 AND Init_Bwd_Win_Byts <= 1.9606157541275024 AND Flow_Duration > -0.15636984258890152 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_IAT_Min <= -0.24368134140968323,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port > 0.8815687596797943 AND Src_Port <= 0.8835166394710541 AND Init_Bwd_Win_Byts > -0.4363929331302643 AND Init_Bwd_Win_Byts > -0.02285480871796608 AND Flow_IAT_Min > -0.24257809668779373 AND Flow_Duration <= -0.166830874979496 AND Init_Bwd_Win_Byts > 0.04249933920800686,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port > 0.8815687596797943 AND Src_Port > 0.8835166394710541 AND Src_Port <= 0.8856509923934937 AND Src_Port > 0.8842004537582397,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5377276837825775 AND Src_Port > 0.7960696220397949 AND Src_Port > 0.8168952763080597 AND Flow_IAT_Min <= -0.1763838455080986 AND Flow_Duration > -0.14278408885002136 AND Init_Bwd_Win_Byts > -0.5811113715171814 AND Dst_Port <= -0.9260448515415192 AND Flow_Duration > -0.13571949303150177,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_Duration <= -0.15501126646995544 AND Flow_Duration > -0.17430303990840912 AND Init_Bwd_Win_Byts <= 1.9845762848854065 AND Flow_Duration > -0.1740313246846199 AND Flow_Duration <= -0.15718498826026917 AND Init_Bwd_Win_Byts <= 1.964914321899414 AND Init_Bwd_Win_Byts <= 1.95436692237854 AND Init_Bwd_Win_Byts > 0.7024488747119904,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port <= 2.06101131439209 AND Dst_Port <= 2.045832633972168 AND Dst_Port <= 2.0234625339508057 AND Dst_Port <= 1.996607780456543 AND Dst_Port <= 1.9867363572120667,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port <= -0.44733037054538727 AND Init_Bwd_Win_Byts > -0.6017683744430542 AND Flow_Duration <= -0.1490335315465927 AND Flow_IAT_Min > -0.21389392018318176,Mirai-UDP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts > 1.9986262321472168 AND Init_Bwd_Win_Byts > 1.9987854361534119 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_IAT_Min > -0.24092324078083038 AND Flow_IAT_Min <= -0.23982000350952148 AND Flow_Duration <= -0.17702019214630127 AND Init_Bwd_Win_Byts > 1.998904824256897 AND Init_Bwd_Win_Byts > 2.002208411693573,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port <= 0.5372099280357361 AND Src_Port > 0.2640727609395981 AND Src_Port <= 0.5277606844902039 AND Init_Bwd_Win_Byts <= -0.3981834501028061 AND Src_Port > 0.312355101108551 AND Src_Port <= 0.3228611648082733,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port > 0.8815687596797943 AND Src_Port <= 0.8835166394710541 AND Init_Bwd_Win_Byts > -0.4363929331302643 AND Init_Bwd_Win_Byts <= -0.02285480871796608 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration > -0.17865048348903656 AND Init_Bwd_Win_Byts > -0.03905404079705477,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port <= 1.298836350440979 AND Dst_Port > 0.860032469034195 AND Init_Bwd_Win_Byts <= -0.5967136025428772 AND Dst_Port <= 1.0250350832939148 AND Init_Bwd_Win_Byts > -0.6006141602993011 AND Init_Bwd_Win_Byts > -0.5994599163532257 AND Flow_Duration <= -0.15636984258890152 AND Flow_IAT_Min <= -0.21830687671899796 AND Flow_Duration <= -0.15827184915542603 AND Flow_Duration <= -0.17131417244672775,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port <= -1.1619142889976501 AND Flow_Duration <= -0.16587986797094345 AND Flow_IAT_Min <= -0.22078915685415268 AND Flow_Duration <= -0.17810705304145813 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_IAT_Min <= -0.24312972277402878 AND Flow_IAT_Min > -0.24368134140968323,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port <= -0.5052325129508972 AND Dst_Port > -0.7424137890338898 AND Dst_Port > -0.5392254889011383 AND Src_Port <= 0.5516324639320374 AND Src_Port > 0.3609897196292877 AND Src_Port > 0.5296049416065216 AND Src_Port <= 0.530350923538208,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts <= -0.5934100449085236 AND Flow_IAT_Min <= -0.16342080384492874 AND Src_Port <= 0.4442301541566849 AND Flow_Duration <= -0.11724286153912544 AND Flow_Duration <= -0.1183297224342823 AND Dst_Port <= -0.7474556863307953 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 0.3286840617656708 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_Duration <= -0.14020279794931412 AND Flow_Duration > -0.14224065840244293 AND Flow_IAT_Min > -0.24285390973091125,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration > -0.17783533781766891 AND Flow_IAT_Min <= -0.24423296004533768 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration <= -0.15990214049816132 AND Flow_Duration <= -0.16017385572195053,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts > 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9987854361534119 AND Flow_Duration > -0.1597662791609764 AND Flow_Duration <= -0.15473955124616623 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15664155781269073 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration > -0.1577284187078476,Scan Hostport
